name,capital,region,area,population,pop_density,urban_population,pop_growth,urban_population_growth,gdp,gdp_per_capita,gdp_growth,average_life_expectancy,life_expectancy_male,life_expectancy_female,unemployment,internet_users
Greece,Athens,Europe,131990.0,10423.0,80.9,79.4,-0.4,0.1,218139.0,20731.2,1.9,82.0,79.5,84.5,15.5,73.0
Greenland,Nuuk,Americas,2166086.0,57.0,0.1,87.1,0.1,0.3,3052.0,53949.8,3.2,71.2,69.1,73.6,9.7,69.5
Grenada,St. George's,Americas,344.0,112.0,331.0,36.4,0.5,0.5,1169.0,10485.9,4.1,72.5,70.1,75.0,,59.1
Guadeloupe,Basse-Terre,Americas,1628.0,65274.0,119.2,80.7,0.3,0.8,2778892.0,41358.1,1.7,82.5,79.4,85.4,8.3,82.0
Guam,Hagåtña,Oceania,549.0,169.0,312.5,94.9,0.8,0.4,,,,79.9,76.5,83.3,5.7,80.5
Guatemala,Guatemala City,Americas,108889.0,17916.0,167.2,51.4,1.9,2.7,78461.0,4549.0,3.1,73.9,71.0,76.8,2.5,65.0
Guinea,Conakry,Africa,245857.0,13133.0,53.4,36.5,2.8,3.1,11640.0,937.6,5.8,60.9,60.3,61.5,4.3,18.0
Guinea-Bissau,Bissau,Africa,36125.0,1968.0,70.0,43.8,2.5,3.6,1459.0,778.4,3.8,57.8,55.8,59.7,2.5,3.9
Guyana,Georgetown,Americas,214969.0,787.0,4.0,26.7,0.5,0.4,3818.0,4900.8,3.4,69.8,66.7,72.9,11.8,37.3
Haiti,Port-au-Prince,Americas,27750.0,11402.0,413.7,56.2,1.3,3.3,9287.0,834.9,1.5,63.6,61.4,65.7,13.9,32.5
Honduras,Tegucigalpa,Americas,112492.0,9905.0,88.5,57.7,1.7,3.0,23970.0,2500.1,3.7,75.0,72.7,77.3,5.2,31.7
Hong Kong,City of Victoria,Asia,1104.0,7497.0,7140.0,100.0,0.8,0.6,362682.0,49199.0,3.0,84.9,81.8,87.5,4.3,90.5
Hungary,Budapest,Europe,93028.0,9660.0,106.7,71.6,-0.2,0.2,157883.0,16264.0,5.1,76.7,73.0,80.1,3.5,76.1
Iceland,Reykjavik,Europe,103000.0,341.0,3.4,93.9,0.7,0.6,25882.0,76867.3,4.6,82.7,81.2,84.3,3.2,99.0
India,New Delhi,Asia,3287590.0,1380004.0,464.1,34.5,1.0,2.4,2779352.0,2054.8,6.8,69.3,68.1,70.5,5.4,34.4
Indonesia,Jakarta,Asia,1904569.0,273524.0,151.0,56.0,1.1,2.6,1042173.0,3893.5,5.2,71.4,69.3,73.6,4.8,39.9
Iran,Tehran,Asia,1648195.0,83993.0,51.6,75.4,1.4,2.0,473091.0,5783.5,-4.8,76.4,75.3,77.6,11.2,70.0
Iraq,Baghdad,Asia,438317.0,40222.0,92.6,70.7,2.5,3.4,212272.0,5523.1,-1.0,70.3,68.3,72.4,12.8,75.0
Ireland,Dublin,Europe,70273.0,4938.0,71.7,63.4,1.2,0.6,382674.0,79414.6,8.2,82.1,80.4,83.7,5.2,84.5
Isle of Man,Douglas,Europe,572.0,86.0,150.7,52.7,0.6,0.9,,,,,,,2.6,
Israel,Jerusalem,Asia,20770.0,8656.0,400.0,92.5,1.6,1.7,370588.0,44214.9,3.4,82.7,81.0,84.3,3.8,83.7
Italy,Rome,Europe,301336.0,60462.0,205.6,70.7,0.0,0.3,2084882.0,34388.5,0.8,83.3,81.0,85.4,9.8,74.4
Jamaica,Kingston,Americas,10991.0,2961.0,273.4,56.0,0.5,0.8,15714.0,5354.3,1.9,74.4,72.8,75.9,8.0,55.1
Japan,Tokyo,Asia,377930.0,126476.0,346.9,91.7,-0.2,0.0,4971323.0,39082.1,0.8,84.5,81.3,87.5,2.3,91.3
Jordan,Amman,Asia,89342.0,10203.0,114.9,91.2,1.9,5.8,42231.0,4237.8,1.9,74.4,72.7,76.1,14.6,66.8
Kazakhstan,Nur-Sultan,Asia,2724900.0,18777.0,7.0,57.5,1.3,1.7,179340.0,9789.5,4.1,73.2,68.8,77.4,4.6,78.9
Kenya,Nairobi,Africa,580367.0,53771.0,94.5,27.5,2.3,4.4,87906.0,1710.5,6.3,66.2,63.8,68.5,2.6,17.8
Kiribati,South Tarawa,Oceania,811.0,119.0,147.5,54.8,1.5,3.5,189.0,1627.4,2.3,68.0,63.9,72.0,30.6,14.6
Kosovo,Pristina,Europe,10908.0,8737.0,99.9,56.3,-0.3,-0.1,50597.0,7208.8,4.4,75.9,73.2,78.4,12.7,73.4
Kuwait,Kuwait City,Asia,17818.0,4271.0,239.7,100.0,2.1,5.4,141698.0,34248.8,1.2,75.3,74.6,76.4,2.3,99.6
Kyrgyzstan,Bishkek,Asia,199951.0,6524.0,34.0,36.6,1.8,1.8,8093.0,1283.8,3.5,71.3,67.2,75.4,6.6,38.0
Laos,Vientiane,Asia,236800.0,7276.0,31.5,35.6,1.5,3.2,17954.0,2542.5,6.2,67.4,65.7,69.2,0.6,25.5
Latvia,Riga,Europe,64559.0,1886.0,30.3,68.2,-1.1,-1.2,34426.0,17851.6,4.6,75.2,69.9,79.8,6.5,83.6
Lebanon,Beirut,Asia,10452.0,6825.0,667.2,88.8,0.9,6.2,56409.0,8223.7,0.2,78.9,77.0,80.8,6.3,78.2
Lesotho,Maseru,Africa,30355.0,2142.0,70.6,28.6,0.8,2.9,2631.0,1248.0,1.2,53.6,50.4,56.8,22.8,29.0
Liberia,Monrovia,Africa,111369.0,5058.0,52.5,51.6,2.5,3.4,2122.0,440.3,1.2,63.6,62.2,65.0,2.7,8.0
Libya,Tripoli,Africa,1759540.0,6871.0,3.9,80.4,1.4,0.5,34377.0,5147.3,17.9,72.8,69.9,75.7,18.6,21.8
Liechtenstein,Vaduz,Europe,160.0,39.0,241.5,14.4,0.7,0.5,6796.0,179258.2,2.0,,,,2.6,98.1
Lithuania,Vilnius,Europe,65300.0,2722.0,43.4,67.9,-1.5,-1.1,53455.0,19082.5,3.6,76.0,70.0,81.1,6.3,79.7
Luxembourg,Luxembourg,Europe,2586.0,626.0,241.7,91.2,2.0,2.6,70920.0,117369.5,3.1,82.0,79.8,84.2,5.2,97.1
Madagascar,Antananarivo,Africa,587041.0,27691.0,47.6,37.9,2.7,4.7,13851.0,527.4,4.6,66.5,64.9,68.1,1.8,9.8
Malawi,Lilongwe,Africa,118484.0,19130.0,202.9,17.2,2.7,3.9,7196.0,396.6,4.0,63.5,60.3,66.6,5.7,13.8
Malaysia,Kuala Lumpur,Asia,330803.0,32366.0,98.5,76.6,1.3,2.7,358579.0,11373.3,4.7,76.0,74.0,78.1,3.4,81.2
